publish_date,headline_text
2018-02-13 17:36:20,Japanese Yen Logs Sharp Gains on Tuesday
2018-02-13 16:29:11,"GBP/USD Rallies Higher on UK Inflation Data, Later Declines"
2018-02-13 12:23:13,Rand Gains on News About Possible End to President Zuma’s Rule
2018-02-13 11:18:20,"Australian Dollar Steady vs. US Dollar, Tumbles vs. Euro &amp; Yen"
2018-02-09 18:31:45,Canadian Dollar Hit by Biggest Decline in Employment Since
2018-02-09 14:54:05,GBP/USD Hits New -Week Lows on Mixed UK Data u
2018-02-09 12:06:18,"Aussie Falls After RBA Statement &amp; Home Loans Data, Bounces Later"
2018-02-09 11:38:04,NZ Dollar Bounce After Decline Caused by China’s Data
2018-02-08 20:34:58,USD/MXN Rises a Little After Mexican Central Bank Raises Key Rate u1
2018-02-08 19:51:34,Canadian Dollar Soft Ahead of Friday’s Employment Report
2018-02-08 15:22:13,Pound Rallies Against US Dollar on Hawkish BoE Rate Hold
2018-02-08 11:31:20,Aussie Weakens After Starting Session Strong
2018-02-08 11:14:42,"NZ Dollar Soft After RBNZ Meeting, Tries to Crawl Back"
2018-02-07 23:10:29,"Loonie Follows Crude Oil in Decline, Ignoring Increase in Building Permits"
2018-02-07 16:07:01,Great Britain Pound Vulnerable Ahead of BoE Meeting on Thursday
2018-02-07 14:47:44,Euro Drops Against US Dollar Despite German Coalition Deal
2018-02-07 12:06:51,Australian Dollar Falls Despite Faster Growth of Construction Sector
2018-02-07 11:53:08,"NZ Dollar Gets Boost from Employment Data, Struggles to Keep Gains"
2018-02-06 15:57:41,EUR/USD Trades Lower Amid Resurgence in US Dollar Demand
2018-02-06 10:37:39,"Aussie Falls After Economic Data &amp; RBA, Moves Away from Day’s Lows"
2018-02-05 14:51:29,Euro Drops Against US Dollar on Weak Eurozone Retail Sales Data
2018-02-05 11:06:07,Pound Slips After Growth of Britain’s Services Sector Slows
2018-02-05 10:55:07,Australian Dollar Recovers After Opening Lower
2018-02-02 14:44:18,British Pound Slips to New Lows on Weak UK Construction Data
2018-02-02 14:34:39,US Dollar Climbs Against Major Peers on Broad Job Gains in January
2018-02-02 12:44:30,NZ Dollar Falls with Building Permits
2018-02-02 12:25:31,Australian Dollar Doesn’t Find Help from Positive PPI c
2018-02-01 15:53:22,Pound Rallies Against US Dollar on Strong UK Housing Data
2018-02-01 13:30:07,Positive Economic Data Doesn’t Prevent Slump of Australian Dollar
2018-02-01 13:06:29,Chinese Yuan Retreats vs. US Dollar Even as China’s Manufacturing Grows
2018-01-31 15:34:07,Euro Rallies Higher Against US Dollar on Upbeat Eurozone CPI
2018-01-31 13:25:52,Australian Dollar Bounces After Losses Caused by Disappointing Data
2018-01-31 13:09:08,NZ Dollar Strong Despite Mixed Data from China 0U
2018-01-30 17:13:01,"Japanese Yen Rallies After Stocks Sell-Off, Struggles to Keep Gains"
2018-01-30 14:56:44,Euro Bounces with Help from Positive GDP Figures
2018-01-30 14:46:22,US Dollar Plummets as Anticipation Builds Up for Interest Rate Decision
2018-01-30 13:27:40,GBP/USD Rallies Higher on UK Credit Data and US Dollar Weakness
2018-01-30 11:40:47,"NZ Dollar Behaves Similar to Aussie, Ignoring New Zealand Trade Balance"
2018-01-30 11:28:21,"Aussie Falls Despite Improving Business Confidence, Trims Losses Later"
2018-01-29 15:15:28,Euro Declines Against US Dollar on Positive US Inflation Data 2
2018-01-29 10:21:14,"Greenback Tries to Regain Ground on Monday, AUD/USD Goes Lower"
2018-01-27 16:36:47,"Dollar Remains Extremely Vulnerable, Falls vs. Major Rivals Over Week"
2018-01-26 18:11:56,Canadian Dollar Firm Despite Falling CPI 9c
2018-01-26 14:10:51,US Dollar Weakens Against Euro As Q4 Economic Growth Disappoint Estimates 0
2018-01-26 13:12:30,Pound Rallies Against US Dollar on Upbeat UK GDP Data
2018-01-26 11:19:16,Japanese Yen Mixed After Release of Inflation Data
2018-01-25 15:19:43,Euro Rallies Higher Against US Dollar on Mario Draghi Speech 9
2018-01-25 11:39:47,NZ Dollar Attempts to Bounce After Slump Caused by Inflation Report
2018-01-24 21:32:39,USD Slumps as Mnuchin Talks About Benefits of Weaker Currency
2018-01-24 13:52:25,GBP/USD Rallies to New Highs on Positive UK Jobs Report
2018-01-24 10:52:15,South African Reaches per Dollar for First Time Since
2018-01-24 10:20:58,Euro Rallies to -Year Highs Against US Dollar on Mixed Eurozone PMIs
2018-01-24 10:04:23,Japanese Yen Gains as Manufacturing Accelerates d
2018-01-23 15:42:31,EUR/USD Rallies Higher on Positive German ZEW Survey
2018-01-23 10:06:00,Dollar Gains After US Government Reopens
2018-01-23 09:51:56,Yen Rises After BoJ Makes No Changes to Monetary Policy
2018-01-19 14:11:07,Pound Declines Against US Dollar on Weak UK Retail Sales Data
2018-01-18 15:10:43,Euro Consolidates Its Gains Against US Dollar on Mixed US Data 2
2018-01-17 14:37:09,Euro Trades Lower on ECB Jawboning And Positive Eurozone data C
2018-01-16 15:43:41,US Dollar Rises Against Euro on Higher Eectations That ECB Will Maintain Stimulus
2018-01-16 12:34:25,Pound Declines Against US Dollar on Weak UK Inflation Data
2018-01-15 13:21:47,Euro Rallies Higher Despite Lack of Major Economic Data
2018-01-12 15:13:30,Euro Rallies Higher on German Coalition Talks Breakthrough
2018-01-11 15:39:28,Euro Rallies Higher on ECB Meeting Minutes and Weak US Data
2018-01-11 14:58:09,US Dollar Retreats as Economic Data Reveals Signs of Lagging Inflation
2018-01-10 14:19:55,British Pound Swings Widely on UK Data and Chinese Rumors
2018-01-09 15:52:02,British Pound Declines on Chaotic Cabinet Reshuffle
2018-01-09 14:10:03,Euro Declines Despite Solid German Data as Traders Remain Cautious 8
2018-01-08 14:10:57,EUR/USD Drops to New Lows Despite Positive Eurozone Data
2018-01-05 13:28:49,Australian Dollar Falls as Trade Balance Logs Uneected Deficit
2018-01-05 13:21:47,Euro Declines Against US Dollar on Weak Eurozone CPI u
2018-01-05 12:55:09,Yen Vulnerable as Traders Don’t Shun Risk
2018-01-04 21:19:08,Canadian Dollar Gets Support from Economic Data &amp; Crude Oil
2018-01-04 17:09:50,British Pound Gains Against US Dollar on Positive UK and US Data
2018-01-04 13:18:52,Accelerating Eansion of Japanese Manufacturing Fails to Boost Yen
2018-01-04 12:50:31,Australian Dollar Mixed Despite Support from Economic Data
2018-01-04 11:14:08,EUR/USD Makes Subdued Recovery on Positive Eurozone PMIs
2018-01-03 18:10:25,Swiss Franc Falls vs. Dollar &amp; Euro Following Manufacturing PMI
2018-01-03 16:36:32,British Pound Falls as Construction Activity Declines in December
2018-01-03 13:46:55,Euro Trades Lower Against US Dollar Ahead of FOMC Minutes
2018-01-02 22:11:20,"CAD Gains on USD, Trims Losses vs. Other Rivals"
2018-01-02 19:40:46,US Dollar Starts with Extreme Weakness 8
2018-01-02 12:11:23,"GBP Gains on USD, Falls vs. Other Rivals After Manufacturing PMI DU"
2018-01-02 11:58:20,EUR/USD Rallies to -Month Highs on First Trading Day of
2018-01-02 11:46:23,AUD/USD Gains After Caixin China Manufacturing PMI
2017-12-30 14:45:37,Dollar Ends Last Trading Week of on Weak Footing
2017-12-29 16:23:15,Euro Rallies Higher Against US Dollar on Last Trading Day
2017-12-28 16:59:08,USD/CAD Declines to Trade near -Month Lows on Soft US Data 1
2017-12-28 15:13:54,Euro Hits New Highs Against US Dollar on Weak US Trade Data
2017-12-28 13:24:16,"Aussie Pauses Rally, Bulls Unafraid U"
2017-12-28 13:08:58,"USD/JPY Drops on Japanese Data, BoJ Summary of Opinions"
2017-12-27 16:15:51,USD/CAD Falls to -Week Lows on Oil Price Rally
2017-12-27 13:52:45,Japanese Yen Weak Despite Housing Data u
2017-12-27 12:55:53,Euro Rallies Against US Dollar on Positive Investor Sentiment
2017-12-27 12:25:20,Australian Dollar Joins Rally of Commodity Currencies
2017-12-23 15:48:36,US Dollar Ends Week Vulnerable Even as US Congress Passes Tax Reform Bill
2017-12-22 15:40:16,GBP/USD Trades Sideways on Last Trading Day Before Christmas
2017-12-21 15:50:35,Canadian Dollar Rallies Against US Dollar on Canada and US Data
2017-12-21 12:13:41,British Pound Rallies Briefly on UK Public Sector Finances Report
2017-12-21 10:17:20,NZ Dollar Fails to Keep Gains Caused by Solid GDP
2017-12-21 10:03:07,Yen Moves Lower After BoJ Doesn’t Mention End of Stimulus
2017-12-20 18:40:15,US Dollar Doesn’t Respond Well to Good News 0
2017-12-20 16:48:39,"Rand Continues to Rise, Analysts Eect Rally to Lose Steam"
2017-12-20 15:56:50,British pound rallies against US dollar on Mark Carney’s speech
2017-12-20 11:26:44,Krona Gains as Riksbank Signals About Gradual Reduction of Stimulus
2017-12-20 11:15:16,New Zealand Dollar Stable Despite Underwhelming Data
2017-12-19 16:53:43,GBP/USD Tumbles to New Lows on Positive US Housing Data
2017-12-19 10:44:53,"Aussie Rises After RBA Minutes, Struggles to Maintain Gains"
2017-12-19 10:26:46,"German Business Climate Index Misses Eectations, Euro Unfazed"
2017-12-18 18:52:20,"USD/CAD Stable, Other CAD-Crosses Weak c"
2017-12-18 17:39:54,EUR/USD Rallies After Final Estimate of November CPI
2017-12-18 11:15:23,South African Rand Gains as Traders Wait for ANC Leadership Vote Results
2017-12-18 10:48:00,"Yen Gains on Dollar, Retreats Against Other Major After Trade Balance 9"
2017-12-16 13:45:30,"USD &amp; EUR End Week Soft, AUD &amp; NZD Strongest U8"
2017-12-15 15:59:55,NZ Dollar Resumes Rally After Drop on Thursday 91C
2017-12-15 14:55:21,Japanese Yen Trades Higher After Tankan Survey
2017-12-15 10:27:24,GBP/USD Trades Sideways on Brexit Jitters and US Data
2017-12-14 15:03:43,USD/CAD Struggles to Rally Higher Despite Positive US Data
2017-12-14 13:21:08,Pound Rallies on UK Retail Sales and Declines on BOE Decision
2017-12-14 12:09:42,Euro Climbs Against US Dollar as Manufacturing Activity Grows More Than Eected
2017-12-14 12:00:48,Yuan Gains on Dollar After China Releases Set of Solid Economic Indicators
2017-12-14 11:14:54,Australian Dollar Boosted by Amazing Jobs Data
2017-12-13 15:19:54,EUR/USD Rallies Higher on US CPI Data Ahead of FOMC Decision
2017-12-13 11:05:13,Pound Retreats from Daily Highs on Weak UK Labor Market Report
2017-12-13 10:30:15,Rand Gains on Dollar Despite Slowing South African Inflation
2017-12-13 10:10:53,"Australian Dollar Fails to Maintain Rally, Losing Gains"
2017-12-12 10:16:47,NZ Dollar Extends Rally Fueled by RBNZ Governor Appointment
2017-12-12 09:56:18,"Australian Dollar Continues Move up, Shrugging off Negative Data uu8"
2017-12-11 13:28:22,Yuan Stable Despite Consumer Inflation Missing Eectations
2017-12-11 13:10:55,Pound Continues to Move Lower Ahead of Busy Week
2017-12-09 19:17:58,"US Dollar Strong During Week, Ends Trading Soft Due to NFP 2"
2017-12-08 15:21:27,British Pound Hits New Lows on Brexit Deal and Positive NFP Data
2017-12-08 13:01:17,NZ Dollar Gains Even as Manufacturing Sales Slow 9
2017-12-08 11:56:32,Australian Dollar Firm After Domestic &amp; Chinese Economic Reports
2017-12-07 15:02:03,Euro Struggles to Rally Higher Despite Strong Eurozone GDP Data
2017-12-06 16:32:40,USD/CAD Rallies Higher on BoC Rate Decision
2017-12-06 14:25:05,EUR/USD Slumps to New Lows on Mixed Eurozone and ADP Data
2017-12-06 11:08:28,Pound Slides as Concerns About Brexit Negotiations Grow
2017-12-06 10:54:28,"Australian GDP Misses Eectations, Aussie Moves Lower"
2017-12-05 21:02:21,"Canadian Dollar Fails to Rally, Erases Gains vs. Greenback"
2017-12-05 13:52:48,Euro Fails to Sustain Brief Rally Despite Solid Services PMI Data
2017-12-05 11:50:57,"Australian Dollar Rallies on Economic Data, RBA Statement"
2017-12-05 11:25:22,Sterling Slides as Brexit Talks Encounter Another Roadblock
2017-12-04 13:14:37,Great Britain Pound Propelled Higher by Hopes for Brexit Deal
2017-12-04 11:10:42,US Dollar Opens Sharply Higher as Markets Reopen
2017-12-04 07:07:50,US Dollar Outlook: Important Economic Data Can Be Overshadowed by Politics
2017-12-02 18:25:45,"Dollar Ends Week Soft, Waits for Reaction to Tax Reform News U80"
2017-12-01 22:11:48,"Canadian Dollar Rises Sharply on Booming Employment, Rising GDP"
2017-12-01 20:31:35,Dollar Loses Ground as Flynn Prepares to Testify Against Trump
2017-12-01 11:06:40,Euro Loses Upward Momentum Despite Positive Manufacturing PMIs
2017-12-01 10:34:14,Japanese Yen Gets Support from Good Domestic Reports
2017-12-01 09:42:36,"New Zealand Dollar Carves Out Gains, Defying Disappointing Reports"
2017-11-30 23:58:08,US Dollar Threatened by Uncertainty Associated with US Politics 2
2017-11-30 22:47:23,Australian Dollar Mixed Despite Supportive Macroeconomic Data
2017-11-30 19:36:32,NZ Dollar Drops with Falling Business Confidence
2017-11-30 18:17:42,Swiss Franc Mixed After Economic Data
2017-11-30 15:17:06,Euro Rallies to New Highs Against US Dollar on PCE Data C
2017-11-29 15:01:20,Euro Drops Further Against US Dollar on US GDP Report
2017-11-28 20:44:57,Sterling Reverses Losses on Report About Breakthrough in Brexit Talks
2017-11-28 17:40:01,"US Dollar Firm, Supported by Economic Data"
2017-11-28 17:21:57,USD/CAD Rallies Higher on BoC’s Financial System Review
2017-11-28 14:40:15,Euro Rallies Briefly Against US Dollar on Disappointing US Data
2017-11-28 14:17:48,Pound Remains Pressed by Brexit Worries
2017-11-28 13:54:26,Japanese Yen Stable During Quiet Tuesday Trading C
2017-11-27 23:57:22,"Canadian Dollar Drops, Following Crude Oil"
2017-11-27 19:08:13,"Dollar Erases Earlier Losses on Monday, Unable to Outperform Yen"
2017-11-27 13:23:33,South African Rand Jumps More Than %
2017-11-26 19:37:50,US Dollar Outlook: What Events to Watch After Thanksgiving Week
2017-11-25 19:18:13,Euro Rebounds After Drop During Week
2017-11-24 11:36:52,Euro Rallies to New Highs Against US Dollar on German IFO
2017-11-24 08:31:20,Accelerating Growth of Manufacturing Doesn’t Help Japanese Yen
2017-11-24 08:23:26,NZ Dollar Falls as Trade Deficit Narrows Less Than Eected
2017-11-23 18:32:23,Dollar Stabilizes After Wednesday’s Sell-Off
2017-11-23 17:16:58,Euro Lifted by Positive Data During Thursday’s Trading
2017-11-23 15:39:44,Canadian Dollar Declines Against US Dollar on Weak Retail Sales
2017-11-23 11:18:57,GBP/USD Tumbles to New Lows on UK GDP Data
2017-11-23 10:59:22,NZ Dollar Recovers After Disappointing Retail Sales
2017-11-22 15:45:08,US Dollar Loses Ground Against Euro as Orders of Durable Goods Miss Estimates
2017-11-22 15:20:22,British Pound Rallies Against US Dollar on Weak US Data
2017-11-22 13:45:09,Australian Dollar Soft Despite Positive Reports
2017-11-21 17:03:59,GBP/USD Retraces Earlier Gains as the US Dollar Index Surges 9
2017-11-21 16:50:51,US Dollar Moves Marginally Higher as Home Sales Improve More Than Eected in October
2017-11-20 12:14:00,Pound Rallies on Hopes for Progress in Brexit Talks
2017-11-20 11:52:12,Euro Bounces After Decline Caused by Failed German Coalition Talks D
2017-11-18 18:18:38,Dollar Soft amid Continuing Uncertainty About US Tax Reform
2017-11-17 15:18:22,British Pound Declines Against US Dollar on Strong Housing Data
2017-11-16 20:15:34,Canadian Dollar Firm Despite Falling Employment
2017-11-16 15:31:02,EUR/USD Trades Sideways on Eurozone and US Data
2017-11-16 11:17:02,Aussie Strong Despite Employment &amp; Inflation Data
2017-11-15 16:35:31,US Dollar Erases Earlier Losses Against Euro Despite Weak Consumer Spending
2017-11-15 14:37:45,Japanese Yen Gains Even as Economic Growth Slows
2017-11-15 14:24:57,Australian Dollar Falls as Wage Growth Stagnates
2017-11-15 12:57:24,British Pound Declines Against US Dollar on UK Labuor Report
2017-11-14 15:42:14,US Dollar Declines Against Major Peers Despite Upbeat Inflation Data
2017-11-14 12:26:02,Yen Flat-to-Lower After Kuroda’s Speech
2017-11-14 12:12:49,Australian Dollar Lifted by Domestic Data U
2017-11-14 11:41:42,GBP/USD Tumbles to New Lows on Soft UK CPI Data
2017-11-14 09:39:10,Euro Rallies Against US Dollar on Positive German GDP Data
2017-11-13 21:50:08,US Dollar Posts Limited Gains as Week Starts
2017-11-13 19:12:19,Australian Dollar Creeps Down During Monday’s Quiet Trading
2017-11-13 11:26:53,Pound Slides as Theresa May Faces Fresh Challenges to Leadership
2017-11-11 13:47:00,Dollar Ends Uneventful Week Soft
2017-11-10 17:11:10,EUR/USD Rallies Briefly on Weak Consumer Sentiment Data
2017-11-10 12:50:12,US Dollar Declines Against British Pound as Tax Reform Gets Delayed
2017-11-10 11:08:10,GBP/USD Trades Higher on Upbeat UK Trade Balance Data c
2017-11-09 17:54:10,Swiss Franc Support by Low Unemployment
2017-11-09 14:57:28,USD/CAD Recovers Lost Ground on Canadian Housing Price Index
2017-11-09 12:55:24,British Pound Gives up Early Gains as Political Troubles Linger
2017-11-09 11:28:25,Euro Gains Against US Dollar on ECB Economic Bulletin
2017-11-09 10:41:09,Aussie Flat-to-Lower After Australian &amp; Chinese Reports 0
2017-11-09 10:09:11,NZ Dollar Soft Following RBNZ Policy Decision
2017-11-08 16:29:09,Canadian Dollar Surges Against US Dollar as Housing Data Exceeds Estimates
2017-11-08 14:19:45,"Australian Dollar Rallies, Disregarding China’s Trade Data"
2017-11-08 12:53:00,US Dollar Falls as Concerns Surrounding Republican Tax Reform Grow 2
2017-11-07 16:07:21,Euro Hits -Month Lows Against US Dollar on Draghi Speech
2017-11-07 12:43:27,"NZD Lower vs. USD, Stable vs. Other Majors Ahead of RBNZ"
2017-11-07 12:33:14,Australia Dollar Falls After RBA Remains Passive
2017-11-06 13:55:30,Euro Steadies at Lowest Level in Days in Wake of Mixed Services Sector Data
2017-11-06 11:31:14,Pound Ignores Carney’s Pessimistic Comments
2017-11-06 10:37:43,"Japanese Yen Falls After Kuroda’s Speech, Quickly Reverses Drop Later D"
2017-11-04 14:46:54,US Dollar Remains Stable After Week of Important Events
2017-11-03 15:47:55,US Dollar Rallies Against Peers on Strong Services PMI Data
2017-11-03 13:45:58,USD/CAD Sinks to New Lows on Labor Market Reports
2017-11-03 11:05:59,"Britain’s Services Sector Shows Strong Growth, Pound Halts Slump"
2017-11-03 10:55:09,Australian Dollar Driven Down by Domestic Data
2017-11-02 16:04:11,US Dollar Falls Against Euro Ahead of New Federal Reserve Chair Announcement
2017-11-02 14:26:25,Czech Koruna Trades Higher Following Interest Rate Hike
2017-11-02 14:08:57,Pound Crashes After Dovish Hike by BoE
2017-11-02 10:44:17,Swiss Franc Shrugs Off Poor Domestic Data
2017-11-02 10:20:41,Positive Domestic Macroeconomic Data Lifts Australian Dollar
2017-11-01 16:38:32,US Dollar Rises as Strong Labor Data Outweighs Low Manufacturing Activity C0
2017-11-01 15:39:10,British Pound Erases Early Gains Despite Highest Manufacturing Activity in Two Months
2017-11-01 15:09:02,Canadian Dollar Gains Against US Dollar on Strong Oil Prices
2017-11-01 10:48:36,"Australian Dollar Gains, Getting Boost from China Manufacturing PMI"
2017-11-01 10:11:23,Amazing Jobs Data Allows NZ Dollar Overcome Negative Fundamentals
2017-10-31 16:58:00,US Dollar Struggles to Rise Against Euro Despite Strong Consumer Confidence
2017-10-31 16:35:50,Canadian Dollar Declines Against US Dollar on Weak GDP Data
2017-10-31 15:00:09,EUR/USD Pair Trades Sideways on Conflicting Eurozone Data
2017-10-31 13:07:37,Japanese Yen Weakens as Bank of Japan Maintains Stimulus Easing Stance 2
2017-10-31 11:33:49,Russian Ruble Falls Along with Crude Oil 0
2017-10-31 10:19:01,NZ Dollar Falls After Economic Data from New Zealand &amp; China D
2017-10-30 22:48:28,"Euro Rises vs. Dollar, Vulnerable vs. Other Majors"
2017-10-30 20:41:44,"US Retreats amid Political Troubles, Fed Chair Uncertainty"
2017-10-28 20:57:50,"Euro Ends Week Among Losers After ECB, Political Upheaval 8"
2017-10-27 16:15:42,EUR/USD Hits New Lows After the Release of US GDP Report
2017-10-26 22:04:58,Pound Falls as Optimism Caused by Strong GDP Growth Fades 2
2017-10-26 16:38:06,Euro Crashes Against US Dollar as ECB Slashes QE Program by Half
2017-10-26 08:40:40,NZ Dollar Falls as Trade Deficit Refuses to Shrink
2017-10-26 08:26:32,Swedish Krona Falls as Riksbank Doesn’t Plan Raising Interest Rates
2017-10-25 22:01:37,"UK GDP Surprises to Upside, Pound Climbs"
2017-10-25 20:57:25,Australian Dollar Sinks % After Inflation Misses Eectations
2017-10-25 16:00:27,Canadian Dollar Weakens Against US Dollar on BoC Rate Decision
2017-10-25 14:16:02,EUR/USD Rallies Higher on Record German Business Climate Index
2017-10-24 18:20:46,British Pound Declines Against US Dollar as Brexit Worries Persist 8
2017-10-24 13:42:31,Euro Moves Higher Against US Dollar as German Manufacturing Strengthens
2017-10-24 10:41:25,NZ Dollar Falls After Rally as New Government Outlines Policies
2017-10-24 10:23:40,"Japanese Yen Weakens on Lower Manufacturing PMI, Politics"
2017-10-23 14:00:00,China’s Central Bank Sets Reference Rate for Yuan Lower
2017-10-23 13:41:55,Japanese Yen Opens Sharply Lower After Abe Secures Power
2017-10-23 05:14:17,Euro Forecast: Markets Wait for ECB Policy Decision
2017-10-21 17:22:10,Politics Help Dollar End Week Strong
2017-10-20 21:06:49,US Dollar Jumps on Hopes for Tax Cuts as Senate Passes Budget Blueprint
2017-10-20 20:50:02,Euro Mixed amid Clashing Fundamentals
2017-10-20 14:55:21,British Pound Rallies Higher Against US Dollar on PM May Speech
2017-10-20 13:42:34,South Africa Crashes on Ramaphosa Speculation
2017-10-20 13:00:36,Canadian Dollar Falls Sharply After Disappointing Macroeconomic Reports 09
2017-10-19 18:50:31,Japanese Yen Mixed During Thursday’s Trading
2017-10-19 18:08:13,NZD/USD Tumbles Almost % as New Zealand Coalition Government Forms
