publish_date,headline_text
2018-01-26 18:11:56,Canadian Dollar Firm Despite Falling CPI 9c
2018-01-26 14:10:51,US Dollar Weakens Against Euro As Q4 Economic Growth Disappoint Estimates 0
2018-01-26 13:12:30,Pound Rallies Against US Dollar on Upbeat UK GDP Data
2018-01-25 15:19:43,Euro Rallies Higher Against US Dollar on Mario Draghi Speech 9
2018-01-25 11:39:47,NZ Dollar Attempts to Bounce After Slump Caused by Inflation Report
2018-01-24 21:32:39,USD Slumps as Mnuchin Talks About Benefits of Weaker Currency
2018-01-24 13:52:25,GBP/USD Rallies to New Highs on Positive UK Jobs Report
2018-01-24 10:52:15,South African Reaches per Dollar for First Time Since
2018-01-24 10:20:58,Euro Rallies to -Year Highs Against US Dollar on Mixed Eurozone PMIs
2018-01-23 15:42:31,EUR/USD Rallies Higher on Positive German ZEW Survey
2018-01-23 10:06:00,Dollar Gains After US Government Reopens
2018-01-19 14:11:07,Pound Declines Against US Dollar on Weak UK Retail Sales Data
2018-01-18 15:10:43,Euro Consolidates Its Gains Against US Dollar on Mixed US Data 2
2018-01-16 15:43:41,US Dollar Rises Against Euro on Higher Eectations That ECB Will Maintain Stimulus
2018-01-16 12:34:25,Pound Declines Against US Dollar on Weak UK Inflation Data
2018-01-11 14:58:09,US Dollar Retreats as Economic Data Reveals Signs of Lagging Inflation
2018-01-09 14:10:03,Euro Declines Despite Solid German Data as Traders Remain Cautious 8
2018-01-08 14:10:57,EUR/USD Drops to New Lows Despite Positive Eurozone Data
2018-01-05 13:28:49,Australian Dollar Falls as Trade Balance Logs Uneected Deficit
2018-01-05 13:21:47,Euro Declines Against US Dollar on Weak Eurozone CPI u
2018-01-04 21:19:08,Canadian Dollar Gets Support from Economic Data &amp; Crude Oil
2018-01-04 17:09:50,British Pound Gains Against US Dollar on Positive UK and US Data
2018-01-04 12:50:31,Australian Dollar Mixed Despite Support from Economic Data
2018-01-04 11:14:08,EUR/USD Makes Subdued Recovery on Positive Eurozone PMIs
2018-01-03 18:10:25,Swiss Franc Falls vs. Dollar &amp; Euro Following Manufacturing PMI
2018-01-03 13:46:55,Euro Trades Lower Against US Dollar Ahead of FOMC Minutes
2018-01-02 22:11:20,"CAD Gains on USD, Trims Losses vs. Other Rivals"
2018-01-02 19:40:46,US Dollar Starts with Extreme Weakness 8
2018-01-02 12:11:23,"GBP Gains on USD, Falls vs. Other Rivals After Manufacturing PMI DU"
2018-01-02 11:58:20,EUR/USD Rallies to -Month Highs on First Trading Day of
2018-01-02 11:46:23,AUD/USD Gains After Caixin China Manufacturing PMI
2017-12-30 14:45:37,Dollar Ends Last Trading Week of on Weak Footing
2017-12-29 16:23:15,Euro Rallies Higher Against US Dollar on Last Trading Day
2017-12-28 16:59:08,USD/CAD Declines to Trade near -Month Lows on Soft US Data 1
2017-12-28 15:13:54,Euro Hits New Highs Against US Dollar on Weak US Trade Data
2017-12-28 13:08:58,"USD/JPY Drops on Japanese Data, BoJ Summary of Opinions"
2017-12-27 16:15:51,USD/CAD Falls to -Week Lows on Oil Price Rally
2017-12-27 12:55:53,Euro Rallies Against US Dollar on Positive Investor Sentiment
2017-12-27 12:25:20,Australian Dollar Joins Rally of Commodity Currencies
2017-12-23 15:48:36,US Dollar Ends Week Vulnerable Even as US Congress Passes Tax Reform Bill
2017-12-22 15:40:16,GBP/USD Trades Sideways on Last Trading Day Before Christmas
2017-12-21 15:50:35,Canadian Dollar Rallies Against US Dollar on Canada and US Data
2017-12-21 10:17:20,NZ Dollar Fails to Keep Gains Caused by Solid GDP
2017-12-20 18:40:15,US Dollar Doesn’t Respond Well to Good News 0
2017-12-20 15:56:50,British pound rallies against US dollar on Mark Carney’s speech
2017-12-20 11:15:16,New Zealand Dollar Stable Despite Underwhelming Data
2017-12-19 16:53:43,GBP/USD Tumbles to New Lows on Positive US Housing Data
2017-12-18 18:52:20,"USD/CAD Stable, Other CAD-Crosses Weak c"
2017-12-18 17:39:54,EUR/USD Rallies After Final Estimate of November CPI
2017-12-18 10:48:00,"Yen Gains on Dollar, Retreats Against Other Major After Trade Balance 9"
2017-12-16 13:45:30,"USD &amp; EUR End Week Soft, AUD &amp; NZD Strongest U8"
2017-12-15 15:59:55,NZ Dollar Resumes Rally After Drop on Thursday 91C
2017-12-15 10:27:24,GBP/USD Trades Sideways on Brexit Jitters and US Data
2017-12-14 15:03:43,USD/CAD Struggles to Rally Higher Despite Positive US Data
2017-12-14 12:09:42,Euro Climbs Against US Dollar as Manufacturing Activity Grows More Than Eected
2017-12-14 12:00:48,Yuan Gains on Dollar After China Releases Set of Solid Economic Indicators
2017-12-14 11:14:54,Australian Dollar Boosted by Amazing Jobs Data
2017-12-13 15:19:54,EUR/USD Rallies Higher on US CPI Data Ahead of FOMC Decision
2017-12-13 10:30:15,Rand Gains on Dollar Despite Slowing South African Inflation
2017-12-13 10:10:53,"Australian Dollar Fails to Maintain Rally, Losing Gains"
2017-12-12 10:16:47,NZ Dollar Extends Rally Fueled by RBNZ Governor Appointment
2017-12-12 09:56:18,"Australian Dollar Continues Move up, Shrugging off Negative Data uu8"
2017-12-09 19:17:58,"US Dollar Strong During Week, Ends Trading Soft Due to NFP 2"
2017-12-08 13:01:17,NZ Dollar Gains Even as Manufacturing Sales Slow 9
2017-12-08 11:56:32,Australian Dollar Firm After Domestic &amp; Chinese Economic Reports
2017-12-06 16:32:40,USD/CAD Rallies Higher on BoC Rate Decision
2017-12-06 14:25:05,EUR/USD Slumps to New Lows on Mixed Eurozone and ADP Data
2017-12-05 21:02:21,"Canadian Dollar Fails to Rally, Erases Gains vs. Greenback"
2017-12-05 11:50:57,"Australian Dollar Rallies on Economic Data, RBA Statement"
2017-12-04 11:10:42,US Dollar Opens Sharply Higher as Markets Reopen
2017-12-04 07:07:50,US Dollar Outlook: Important Economic Data Can Be Overshadowed by Politics
2017-12-02 18:25:45,"Dollar Ends Week Soft, Waits for Reaction to Tax Reform News U80"
2017-12-01 22:11:48,"Canadian Dollar Rises Sharply on Booming Employment, Rising GDP"
2017-12-01 20:31:35,Dollar Loses Ground as Flynn Prepares to Testify Against Trump
2017-12-01 09:42:36,"New Zealand Dollar Carves Out Gains, Defying Disappointing Reports"
2017-11-30 23:58:08,US Dollar Threatened by Uncertainty Associated with US Politics 2
2017-11-30 22:47:23,Australian Dollar Mixed Despite Supportive Macroeconomic Data
2017-11-30 19:36:32,NZ Dollar Drops with Falling Business Confidence
2017-11-30 15:17:06,Euro Rallies to New Highs Against US Dollar on PCE Data C
2017-11-29 15:01:20,Euro Drops Further Against US Dollar on US GDP Report
2017-11-28 17:40:01,"US Dollar Firm, Supported by Economic Data"
2017-11-28 17:21:57,USD/CAD Rallies Higher on BoC’s Financial System Review
2017-11-28 14:40:15,Euro Rallies Briefly Against US Dollar on Disappointing US Data
2017-11-27 23:57:22,"Canadian Dollar Drops, Following Crude Oil"
2017-11-27 19:08:13,"Dollar Erases Earlier Losses on Monday, Unable to Outperform Yen"
2017-11-26 19:37:50,US Dollar Outlook: What Events to Watch After Thanksgiving Week
2017-11-24 11:36:52,Euro Rallies to New Highs Against US Dollar on German IFO
2017-11-24 08:23:26,NZ Dollar Falls as Trade Deficit Narrows Less Than Eected
2017-11-23 18:32:23,Dollar Stabilizes After Wednesday’s Sell-Off
2017-11-23 15:39:44,Canadian Dollar Declines Against US Dollar on Weak Retail Sales
2017-11-23 11:18:57,GBP/USD Tumbles to New Lows on UK GDP Data
2017-11-23 10:59:22,NZ Dollar Recovers After Disappointing Retail Sales
2017-11-22 15:45:08,US Dollar Loses Ground Against Euro as Orders of Durable Goods Miss Estimates
2017-11-22 15:20:22,British Pound Rallies Against US Dollar on Weak US Data
2017-11-22 13:45:09,Australian Dollar Soft Despite Positive Reports
2017-11-21 17:03:59,GBP/USD Retraces Earlier Gains as the US Dollar Index Surges 9
2017-11-21 16:50:51,US Dollar Moves Marginally Higher as Home Sales Improve More Than Eected in October
2017-11-18 18:18:38,Dollar Soft amid Continuing Uncertainty About US Tax Reform
2017-11-17 15:18:22,British Pound Declines Against US Dollar on Strong Housing Data
2017-11-16 20:15:34,Canadian Dollar Firm Despite Falling Employment
2017-11-16 15:31:02,EUR/USD Trades Sideways on Eurozone and US Data
2017-11-15 16:35:31,US Dollar Erases Earlier Losses Against Euro Despite Weak Consumer Spending
2017-11-15 14:24:57,Australian Dollar Falls as Wage Growth Stagnates
2017-11-15 12:57:24,British Pound Declines Against US Dollar on UK Labuor Report
2017-11-14 15:42:14,US Dollar Declines Against Major Peers Despite Upbeat Inflation Data
2017-11-14 12:12:49,Australian Dollar Lifted by Domestic Data U
2017-11-14 11:41:42,GBP/USD Tumbles to New Lows on Soft UK CPI Data
2017-11-14 09:39:10,Euro Rallies Against US Dollar on Positive German GDP Data
2017-11-13 21:50:08,US Dollar Posts Limited Gains as Week Starts
2017-11-13 19:12:19,Australian Dollar Creeps Down During Monday’s Quiet Trading
2017-11-11 13:47:00,Dollar Ends Uneventful Week Soft
2017-11-10 17:11:10,EUR/USD Rallies Briefly on Weak Consumer Sentiment Data
2017-11-10 12:50:12,US Dollar Declines Against British Pound as Tax Reform Gets Delayed
2017-11-10 11:08:10,GBP/USD Trades Higher on Upbeat UK Trade Balance Data c
2017-11-09 14:57:28,USD/CAD Recovers Lost Ground on Canadian Housing Price Index
2017-11-09 11:28:25,Euro Gains Against US Dollar on ECB Economic Bulletin
2017-11-09 10:09:11,NZ Dollar Soft Following RBNZ Policy Decision
2017-11-08 16:29:09,Canadian Dollar Surges Against US Dollar as Housing Data Exceeds Estimates
2017-11-08 14:19:45,"Australian Dollar Rallies, Disregarding China’s Trade Data"
2017-11-08 12:53:00,US Dollar Falls as Concerns Surrounding Republican Tax Reform Grow 2
2017-11-07 16:07:21,Euro Hits -Month Lows Against US Dollar on Draghi Speech
2017-11-07 12:43:27,"NZD Lower vs. USD, Stable vs. Other Majors Ahead of RBNZ"
2017-11-07 12:33:14,Australia Dollar Falls After RBA Remains Passive
2017-11-04 14:46:54,US Dollar Remains Stable After Week of Important Events
2017-11-03 15:47:55,US Dollar Rallies Against Peers on Strong Services PMI Data
2017-11-03 13:45:58,USD/CAD Sinks to New Lows on Labor Market Reports
2017-11-03 10:55:09,Australian Dollar Driven Down by Domestic Data
2017-11-02 16:04:11,US Dollar Falls Against Euro Ahead of New Federal Reserve Chair Announcement
2017-11-02 10:20:41,Positive Domestic Macroeconomic Data Lifts Australian Dollar
2017-11-01 16:38:32,US Dollar Rises as Strong Labor Data Outweighs Low Manufacturing Activity C0
2017-11-01 15:09:02,Canadian Dollar Gains Against US Dollar on Strong Oil Prices
2017-11-01 10:48:36,"Australian Dollar Gains, Getting Boost from China Manufacturing PMI"
2017-11-01 10:11:23,Amazing Jobs Data Allows NZ Dollar Overcome Negative Fundamentals
2017-10-31 16:58:00,US Dollar Struggles to Rise Against Euro Despite Strong Consumer Confidence
2017-10-31 16:35:50,Canadian Dollar Declines Against US Dollar on Weak GDP Data
2017-10-31 15:00:09,EUR/USD Pair Trades Sideways on Conflicting Eurozone Data
2017-10-31 13:07:37,Japanese Yen Weakens as Bank of Japan Maintains Stimulus Easing Stance 2
2017-10-31 10:19:01,NZ Dollar Falls After Economic Data from New Zealand &amp; China D
2017-10-30 22:48:28,"Euro Rises vs. Dollar, Vulnerable vs. Other Majors"
2017-10-27 16:15:42,EUR/USD Hits New Lows After the Release of US GDP Report
2017-10-26 16:38:06,Euro Crashes Against US Dollar as ECB Slashes QE Program by Half
2017-10-26 08:40:40,NZ Dollar Falls as Trade Deficit Refuses to Shrink
2017-10-25 20:57:25,Australian Dollar Sinks % After Inflation Misses Eectations
2017-10-25 16:00:27,Canadian Dollar Weakens Against US Dollar on BoC Rate Decision
2017-10-25 14:16:02,EUR/USD Rallies Higher on Record German Business Climate Index
2017-10-24 18:20:46,British Pound Declines Against US Dollar as Brexit Worries Persist 8
2017-10-24 13:42:31,Euro Moves Higher Against US Dollar as German Manufacturing Strengthens
2017-10-24 10:41:25,NZ Dollar Falls After Rally as New Government Outlines Policies
2017-10-21 17:22:10,Politics Help Dollar End Week Strong
2017-10-20 21:06:49,US Dollar Jumps on Hopes for Tax Cuts as Senate Passes Budget Blueprint
2017-10-20 14:55:21,British Pound Rallies Higher Against US Dollar on PM May Speech
2017-10-20 13:00:36,Canadian Dollar Falls Sharply After Disappointing Macroeconomic Reports 09
2017-10-19 18:08:13,NZD/USD Tumbles Almost % as New Zealand Coalition Government Forms
2017-10-19 14:09:22,EUR/USD Rallies as Spanish Government Tightens Grip on Catalonia d2
2017-10-19 13:20:13,"AUD Gains on USD, Falls vs. Other Major Despite Supportive Data"
2017-10-18 16:54:40,Australian Dollar Mixed After Confusing Economic Data 9
2017-10-18 16:20:23,Euro Recovers Against US Dollar on Weak Housing Data
2017-10-18 15:48:28,Canadian Dollar Rallies on Back of Supportive Fundamentals
2017-10-17 18:15:42,"USD Stable, Gains vs. European Currencies amid Next Fed Chief Speculations"
2017-10-17 16:01:04,Canadian Dollar Falls as Uncertainty about Trade Relations Grows
2017-10-17 15:01:45,Euro Declines Against US Dollar on Positive US Import Data
2017-10-17 13:25:55,British Pound Weakens Against US Dollar Despite Hawkish BoE
2017-10-17 12:33:56,NZ Dollar Edges Up After Inflation Accelerates Beyond Eectations
2017-10-16 20:12:49,Canadian Dollar Moves Lower Even as Crude Oil Rallies
2017-10-14 14:07:39,US Dollar Ends Week as Weakest Currency After FOMC &amp; CPI
2017-10-13 12:01:53,NZ Dollar Gains as Manufacturing Sector Continues to Grow
2017-10-13 11:16:53,Australian Dollar Gains as China’s Trade Balance Surplus Shrinks
2017-10-12 16:23:26,Canadian Dollar Declines Against US Dollar on Positive US Data
2017-10-12 14:56:21,US Dollar Rises as Fresh Data Boosts Inflation Outlook
2017-10-12 13:33:08,GBP/USD Posts Massive Losses on Brexit Headlines
2017-10-12 11:02:33,Australian Dollar Extends Rally Caused by FOMC Minutes 2
2017-10-11 20:52:35,USD/CAD Dips After FOMC Minutes Show Dovish Stance
2017-10-11 15:01:27,US Dollar Retreats as Job Openings Decrease in August
2017-10-11 12:04:40,Australian Dollar Reverses Gains Caused by Improving Consumer Sentiment
2017-10-10 22:10:29,"Dollar Goes Lower, Waits for Economic Data C"
2017-10-10 19:40:53,"Japanese Yen Gains vs. US Dollar, Falls vs. Other Majors"
2017-10-10 16:26:01,Canadian Dollar Rallies Against US Dollar on Positive Housing Data d
2017-10-10 14:28:12,EUR/USD Retreats from Weekly Highs on Catalan Uncertainties
2017-10-10 09:40:32,Australian Dollar Rises Following Business Confidence
2017-10-09 18:35:40,EUR/USD Trades Sideways in a Slow Start to the Week
2017-10-09 15:16:02,Australian Dollar Trades Lower After China’s Services PMI Disappoints
2017-10-07 17:10:07,US Dollar Ends Week as Strongest Currency Despite Falling Employment D
2017-10-06 14:52:54,USD/CAD Rallies Briefly on Mixed Employment Data from Canada
2017-10-06 14:30:10,US Dollar Climbs Against Euro as Catalonian Crisis Escalates
2017-10-05 21:14:41,US Dollar Gains as Data Supports Outlook for Fed’s Hike
2017-10-05 14:37:37,Euro Sinks to New Lows Against US Dollar After ECB Minutes
2017-10-05 11:38:06,Australian Dollar Falls Against US Peer on Weak Retail Data
2017-10-05 10:29:14,Great Britain Pound Goes Lower After Prime Minister’s Disastrous Speech
2017-10-04 15:19:25,Euro Declines Against US Dollar on Positive US Data
2017-10-04 10:52:41,British Pound Rallies Against US Dollar on Strong PMI Data U
2017-10-03 19:29:01,Canadian Dollar Flat as Traders Wait for Economic Data
2017-10-03 16:02:36,EUR/USD Gains Ahead of Data-Heavy Week
2017-10-03 11:59:01,Australian Dollar Slips after RBA &amp; Building Approvals
2017-10-02 19:47:41,"Australian Dollar Holds Ground After China’s Data, Ahead of RBA Meeting"
2017-10-02 16:57:08,US Dollar Rises as Manufacturing Data Exceeds Eectations
2017-10-02 16:04:59,British Pound Declines Against US Dollar on Weak PMI Data
2017-10-02 10:45:33,"Tankan Survey Mixed, Japanese Yen Falls vs. Dollar 0"
2017-09-30 17:24:17,Dollar Ends Week &amp; Month on Strong Footing
2017-09-29 17:00:00,US Dollar Higher Against Most Rivals
2017-09-29 15:31:24,Canadian Dollar Declines Against US Dollar on Weak GDP Data
2017-09-29 13:48:32,Euro Rallies Against US Dollar on Weak PCE Data
2017-09-28 18:59:33,Canadian Dollar Recovers After Wednesday’s Steep Decline
2017-09-28 16:29:30,Australian Dollar Extends Decline Ahead of Next Week’s RBA Meeting
2017-09-28 14:38:55,EUR/USD Rallies to New Highs Ignoring Strong US GDP Data
2017-09-28 09:40:44,NZ Dollar Fails to Hold Gains After RBNZ Policy Meeting
2017-09-27 17:20:55,Canadian Dollar Drops Against US Peer on Poloz Dovish Comments
2017-09-27 16:43:07,Euro Declines Against US Dollar on Positive US Data
2017-09-26 16:02:25,Canadian Dollar Declines Against US Dollar on Weak Oil Prices
2017-09-26 12:48:11,"NZ Dollar Under Pressure from Election Outcome, Poor Data"
2017-09-22 16:03:02,US Dollar Weakens on Lingering Geopolitical Risks and Lackluster Data
2017-09-22 14:31:18,Canadian Dollar Weakens Against US Dollar on CPI and Retail Sales Data
2017-09-22 10:09:11,Australian Dollar Steady Following China’s Rating Downgrade by S&amp
2017-09-21 15:32:57,Euro Rallies Briefly Against US Dollar on Mario Draghi Speech
2017-09-21 12:46:13,GBP/USD trades sideways after post-FOMC slide
2017-09-20 12:24:14,EUR/USD trades sideways as markets await Fed rate decision
2017-09-20 11:25:19,NZ Dollar Rises to Highest in More Than a Month
2017-09-19 15:56:37,US Dollar Declines Despite Strong Housing Numbers
2017-09-19 13:05:06,Drop of Consumer Confidence Doesn’t Affect New Zealand Dollar
2017-09-19 11:46:31,EUR/USD consolidates gains after release of ZEW survey data
2017-09-18 15:21:47,US Dollar Rises Against Most Major Peers Ahead of Federal Reserve Meeting uc
2017-09-15 16:58:37,US Dollar Drops Against Major Peers as Retail Sales Fail to Meet Estimates c
2017-09-15 11:09:13,GBP/USD Rallies to New Highs on BoE’s Vlieghe Hawkish Comments
2017-09-15 09:04:44,NZ Dollar Gains as Manufacturing Continues to Eand
2017-09-14 15:52:13,USD/CAD Spikes to New Highs on US CPI Data Then Quickly Erases Gains
2017-09-14 14:43:24,US Dollar Gains Against Euro on Positive US CPI Data
2017-09-14 08:35:33,"New Zealand Dollar Stable, Ignores China’s Lackluster Data"
2017-09-13 16:03:16,Euro Weakens Against US Dollar After Release of US Data and Tax Plan
2017-09-12 22:03:35,Canadian Dollar Drops Despite Favorable Trading Environment
2017-09-12 16:30:50,US Dollar Rises against Major Peers as Businesses Look for More Employees
2017-09-12 15:32:54,British Pound Rallies Against US Dollar on Positive UK Inflation Data
2017-09-08 15:36:07,USD/CAD rallies higher despite positive Canadian employment data
2017-09-08 14:17:54,GBP/USD rallies to new monthly highs on positive UK production data
2017-09-07 19:14:32,"Pound Gains on Vulnerable Dollar, Falls Against Other Rivals"
2017-09-07 17:26:14,Canadian Dollar Consolidates Gains Made Against US Dollar Yesterday
2017-09-07 14:50:35,US Dollar Loses Ground Against Euro Following ECB Decision
2017-09-05 15:54:36,British pound rallies against US dollar despite weak UK PMI data 9
2017-09-05 15:08:05,Australian Dollar Wins in Battle Against Adverse Fundamentals
2017-09-05 13:29:01,EUR/USD trades sideways on North Korean and Eurozone news
2017-09-04 17:17:27,"Canadian Dollar Starts Trading Volatile, Stabilizes Later"
2017-09-02 17:01:55,US Dollar Ends Week Mixed in Face of Adverse Fundamentals c
2017-09-01 18:13:19,"CAD Logs Massive Gains, Touches Highest Since vs. USD"
2017-09-01 14:43:21,"EUR/USD briefly rallies higher on disappointing NFP report, then tumbles"
2017-08-31 14:39:44,USD/CAD declines drastically on US and Canada data D
2017-08-31 13:49:08,EUR/USD Sinks to New Lows Despite Positive Eurozone Data
2017-08-31 13:14:56,NZ Dollar Fails to Hold Ground After Business Confidence Worsens
2017-08-30 17:06:43,US Dollar Climbs against Major Counterparts on Strong Economic Growth
2017-08-30 15:00:17,EUR/USD Posts Major Decline on Positive US GDP Data
2017-08-30 14:25:41,"NZD/USD Drops, Other NZD-Crosses Stable"
2017-08-30 13:48:40,"USD/CHF Rises Because of Economic Data, Improving Sentiment"
2017-08-29 11:51:46,"Pound Gains on Dollar, Remains Weak Against Other Majors"
2017-08-28 18:30:32,EUR/USD hits new two-year highs on weak US dollar
2017-08-28 11:52:15,Japanese Yen Rises Versus Euro in Monday’s Quiet Trading
2017-08-26 15:33:37,US Dollar Ends Week Vulnerable amid Political Concerns
2017-08-25 19:03:18,US Dollar Plummets as Janet Yellen Rejects Trump Agenda for Financial Regulations
2017-08-25 15:45:19,Canadian Dollar Rallies Higher Against US Dollar on Janet Yellen Speech
2017-08-25 14:39:48,Euro Advances Against US Dollar as German Business Conditions Remain Strong
2017-08-24 18:50:29,US Dollar Trades Sideways Against Euro on Positive Jobless Claims Data U
2017-08-23 16:59:15,British Pound Weakens Against US Dollar on Brexit Uncertainties
2017-08-23 15:46:27,EUR/USD prints fresh highs on positive Eurozone PMI data
2017-08-23 11:37:55,New Zealand Dollar Lower on Economic Forecast
2017-08-23 11:21:22,"USD/JPY Lower After Trump’s Comments, Japan’s Manufacturing PMI"
2017-08-22 16:02:55,Canadian Dollar Touches Highest Level in Three Weeks on Strong Retail Sales
2017-08-22 13:47:45,GBP/USD Tests New Lows Despite Positive UK Public Finances Data
2017-08-22 12:09:32,EUR/USD Down After Economic Sentiment Disappoints
2017-08-21 17:09:42,US Dollar Edges Lower as Political Tensions Reduce Appetite for Risk 1
2017-08-18 17:18:41,Canadian Dollar Climbs Against British Pound on Improved Inflation in July
2017-08-18 16:43:34,US Dollar Weakens Against Euro Despite Positive Consumer Confidence
